GameID,FileName,Extension,Platform,Genre,Rating,Votes,Description,Compatibility,Size,DownloadLink,CoverArtLink
DOS-592B77FB,A 320,ZIP,DOS,"Adventure, Simulation",6.9/10,87,"A 320 is an engaging Adventure, Simulation game released for the DOS. This title offers a unique experience within the adventure, simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",237.71 KB,"https://archive.org/download/total-dos-collection-a/A 320 (Fr) (1988)(Loriciels) [Adventure, Simulation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A%20320.png
DOS-D57F60AD,A 320,ZIP,DOS,"Adventure, Simulation",6.5/10,258,"A 320 is an engaging Adventure, Simulation game released for the DOS. This title offers a unique experience within the adventure, simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",273.84 KB,"https://archive.org/download/total-dos-collection-a/A 320 (Fr) [a1] (1988)(Loriciels) [Adventure, Simulation].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A%20320.png
DOS-DCB6A55C,A Maze,ZIP,DOS,"Strategy, Puzzle",8.4/10,"2,925","A Maze [SW] is an engaging Strategy, Puzzle game released for the DOS. This title offers a unique experience within the strategy, puzzle genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",211.44 KB,"https://archive.org/download/total-dos-collection-a/A Maze [SW] (1994)(Jeff Leigh) [Strategy, Puzzle].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A%20Maze.png
DOS-CFF6AC49,A la carrera,ZIP,DOS,Sports,8.0/10,210,"A la carrera is an engaging Sports game released for the DOS. This title offers a unique experience within the sports genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",77.65 KB,"https://archive.org/download/total-dos-collection-a/A la carrera (Es) (1991)(Ediciones Manali, S.A.) [Sports].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A%20la%20carrera.png
DOS-617BBF2E,A la conquete de l'orthographe,ZIP,DOS,General,7.3/10,"2,489",A la conquete de l'orthographe is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",11.17 MB,https://archive.org/download/total-dos-collection-a/A la conquete de l'orthographe (CE) (Fr) (1992)(Generation 5) [Audio Tape].zip,https://thumbnails.libretro.com/DOS/Named_Boxarts/A%20la%20conquete%20de%20l%27orthographe.png
DOS-38B6B8A3,A la conquete de l'orthographe,ZIP,DOS,Educational,9.0/10,855,"A la conquete de l'orthographe is an engaging Educational game released for the DOS. This title offers a unique experience within the educational genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",376.05 KB,https://archive.org/download/total-dos-collection-a/A la conquete de l'orthographe (CE) (Fr) (1992)(Generation 5) [Educational].zip,https://thumbnails.libretro.com/DOS/Named_Boxarts/A%20la%20conquete%20de%20l%27orthographe.png
DOS-F1D7A88D,A la poursuite de Carmen Sandiego dans le monde,ZIP,DOS,"Adventure, Educational",9.0/10,"3,374","A la poursuite de Carmen Sandiego dans le monde is an engaging Adventure, Educational game released for the DOS. This title offers a unique experience within the adventure, educational genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",375.14 KB,"https://archive.org/download/total-dos-collection-a/A la poursuite de Carmen Sandiego dans le monde (Fr) (1990)(Brøderbund Software, Inc.) [Adventure, Educational].zip",https://thumbnails.libretro.com/DOS/Named_Boxarts/A%20la%20poursuite%20de%20Carmen%20Sandiego%20dans%20le%20monde.png
DOS-7284FD16,A+ Computer Parenting,ZIP,DOS,General,8.3/10,"2,025",A+ Computer Parenting is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.28 KB,https://archive.org/download/total-dos-collection-a/A+ Computer Parenting (Installer) (1992)(American Education Corp) [DOSBox Patch].zip,https://thumbnails.libretro.com/DOS/Named_Boxarts/A%2B%20Computer%20Parenting.png
DOS-142DAB62,A+ Computer Parenting,ZIP,DOS,Educational,6.4/10,71,"A+ Computer Parenting is an engaging Educational game released for the DOS. This title offers a unique experience within the educational genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",547.21 KB,https://archive.org/download/total-dos-collection-a/A+ Computer Parenting (Installer) (1992)(American Education Corp) [Educational][!].zip,https://thumbnails.libretro.com/DOS/Named_Boxarts/A%2B%20Computer%20Parenting.png
DOS-070FCFC5,A+ English Grammar II,ZIP,DOS,General,6.6/10,"1,690",A+ English Grammar II is a classic title for the DOS. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DOSBox or DOSBox-Staging. Compatible with virtually all platforms including PC, Mac, Linux, and Mobile. Very low hardware requirements.",1.28 KB,https://archive.org/download/total-dos-collection-a/A+ English Grammar II (Installer) (1992)(American Education Corp) [DOSBox Patch].zip,https://thumbnails.libretro.com/DOS/Named_Boxarts/A%2B%20English%20Grammar%20II.png
