GameID,FileName,Extension,Platform,Genre,Description,Compatibility,Size,DownloadLink,CoverArtLink
PSX-DC58636F,'98 Koushien - Koukou Yakyuu Simulation,CHD,Sony PlayStation 1,Simulation,"'98 Koushien - Koukou Yakyuu Simulation.chd is an engaging Simulation game released for the Sony PlayStation 1. This title offers a unique experience within the simulation genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",55.10 MB,https://archive.org/download/ps1-rip-chd-ck/'98 Koushien - Koukou Yakyuu Simulation.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/%2798%20Koushien%20-%20Koukou%20Yakyuu%20Simulation.png
PSX-5E6ACB38,'99 Koushien,CHD,Sony PlayStation 1,General,'99 Koushien.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",54.03 MB,https://archive.org/download/ps1-rip-chd-ck/'99 Koushien.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/%2799%20Koushien.png
PSX-908E9EFB,0 kara no Mahjong - Mahjong Youchien Tamago-gumi,CHD,Sony PlayStation 1,General,0 kara no Mahjong - Mahjong Youchien Tamago-gumi.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",7.16 MB,https://archive.org/download/ps1-rip-chd-ck/0 kara no Mahjong - Mahjong Youchien Tamago-gumi.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/0%20kara%20no%20Mahjong%20-%20Mahjong%20Youchien%20Tamago-gumi.png
PSX-7F997416,007 - The World Is Not Enough,CHD,Sony PlayStation 1,General,007 - The World Is Not Enough.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",31.85 MB,https://archive.org/download/ps1-rip-chd-ck/007 - The World Is Not Enough.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/007%20-%20The%20World%20Is%20Not%20Enough.png
PSX-06261F9C,007 - Tomorrow Never Dies,CHD,Sony PlayStation 1,General,007 - Tomorrow Never Dies.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",16.75 MB,https://archive.org/download/ps1-rip-chd-ck/007 - Tomorrow Never Dies.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/007%20-%20Tomorrow%20Never%20Dies.png
PSX-606E5AD3,007 Racing,CHD,Sony PlayStation 1,Racing,"007 Racing.chd is an engaging Racing game released for the Sony PlayStation 1. This title offers a unique experience within the racing genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",23.92 MB,https://archive.org/download/ps1-rip-chd-ck/007 Racing.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/007%20Racing.png
PSX-65D97FF4,100% Star,CHD,Sony PlayStation 1,General,100% Star.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",8.26 MB,https://archive.org/download/ps1-rip-chd-ck/100% Star.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/100%25%20Star.png
PSX-F495EF5D,101 Best Games For Master System,CHD,Sony PlayStation 1,General,101 Best Games For Master System.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",12.85 MB,https://archive.org/download/ps1-rip-chd-ck/101 Best Games For Master System.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/101%20Best%20Games%20For%20Master%20System.png
PSX-004688DA,101 Dalmatians II - Patch's London Adventure,CHD,Sony PlayStation 1,Adventure,"101 Dalmatians II - Patch's London Adventure.chd is an engaging Adventure game released for the Sony PlayStation 1. This title offers a unique experience within the adventure genre, featuring the signature mechanics and art style that fans of the series and platform enjoy.","Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",17.48 MB,https://archive.org/download/ps1-rip-chd-ck/101 Dalmatians II - Patch's London Adventure.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/101%20Dalmatians%20II%20-%20Patch%27s%20London%20Adventure.png
PSX-57A321B5,102 Dalmatians - Puppies to the Rescue,CHD,Sony PlayStation 1,General,102 Dalmatians - Puppies to the Rescue.chd is a classic title for the Sony PlayStation 1. Experience the original gameplay and features that made this game a notable entry in its library.,"Use DuckStation or ePSXe. Highly compatible with almost any modern PC, Android, or iOS device. Requires original BIOS files for best accuracy.",24.69 MB,https://archive.org/download/ps1-rip-chd-ck/102 Dalmatians - Puppies to the Rescue.chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation/Named_Boxarts/102%20Dalmatians%20-%20Puppies%20to%20the%20Rescue.png
