GameID,FileName,Platform,Genre,Description,Compatibility,Size,DownloadLink,CoverArtLink
PSP-898A7380,psp-chd-zstd/N Plus (Europe).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/N Plus is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",49.36 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/N Plus (Europe).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/N%20Plus.png
PSP-994B552F,psp-chd-zstd/N Plus (USA).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/N Plus is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",49.46 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/N Plus (USA).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/N%20Plus.png
PSP-5EB64552,psp-chd-zstd/NASCAR (Europe).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NASCAR is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",568.53 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NASCAR (Europe).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NASCAR.png
PSP-DBDE44FB,psp-chd-zstd/NASCAR (USA).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NASCAR is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",572.65 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NASCAR (USA).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NASCAR.png
PSP-D4E65C7C,psp-chd-zstd/NBA (USA).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",95.31 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA (USA).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA.png
PSP-4F1F08B0,psp-chd-zstd/NBA 06 (USA).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 06 is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",204.86 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 06 (USA).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%2006.png
PSP-30EEFD9B,psp-chd-zstd/NBA 07 (USA) (Demo).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 07 is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",478.52 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 07 (USA) (Demo).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%2007.png
PSP-3CE2463F,psp-chd-zstd/NBA 07 (USA).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 07 is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",478.12 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 07 (USA).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%2007.png
PSP-A03B17B3,psp-chd-zstd/NBA 08 (USA).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 08 is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",530.95 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 08 (USA).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%2008.png
PSP-EA7E1A63,psp-chd-zstd/NBA 09 - The Inside (Asia).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 09 - The Inside is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",575.73 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 09 - The Inside (Asia).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%2009%20-%20The%20Inside.png
PSP-886B059C,psp-chd-zstd/NBA 09 - The Inside (USA) (Beta) (2008-08-07).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 09 - The Inside is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",579.15 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 09 - The Inside (USA) (Beta) (2008-08-07).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%2009%20-%20The%20Inside.png
PSP-3C87A2AC,psp-chd-zstd/NBA 09 - The Inside (USA).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 09 - The Inside is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",575.73 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 09 - The Inside (USA).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%2009%20-%20The%20Inside.png
PSP-54D3E96E,psp-chd-zstd/NBA 10 - The Inside (Asia).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 10 - The Inside is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",558.56 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 10 - The Inside (Asia).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%2010%20-%20The%20Inside.png
PSP-7C2633F3,psp-chd-zstd/NBA 10 - The Inside (USA).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 10 - The Inside is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",558.56 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 10 - The Inside (USA).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%2010%20-%20The%20Inside.png
PSP-DBF6DF7C,psp-chd-zstd/NBA 2K10 (Europe).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 2K10 is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",798.23 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 2K10 (Europe).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%202K10.png
PSP-B1D7C9C8,psp-chd-zstd/NBA 2K10 (USA).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 2K10 is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",796.75 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 2K10 (USA).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%202K10.png
PSP-014093A6,psp-chd-zstd/NBA 2K11 (Europe).chd,Sony PlayStation Portable / PS2,General,psp-chd-zstd/NBA 2K11 is a classic title for the Sony PlayStation Portable / PS2. Experience the original gameplay and features that made this game a notable entry in its library.,"For PSP: Use PPSSPP emulator. Compatible with most PCs, Android, and iOS devices. For PS2: Use PCSX2 (PC) or AetherSX2 (Android). Requires a mid-range processor and dedicated GPU for best performance.",800.89 MB,https://archive.org/download/psp-chd-zstd-redump-part2/psp-chd-zstd/NBA 2K11 (Europe).chd,https://thumbnails.libretro.com/Sony%20-%20PlayStation%20Portable/Named_Boxarts/NBA%202K11.png
