GameID,FileName,Platform,Genre,Description,Compatibility,Size,DownloadLink,CoverArtLink
PS4-21FB7A5F,DARK SOULS - [EU] [EN] [1.03].pkg,Sony PlayStation 3 / PS4,General,DARK SOULS - [EU] [EN] [1.03].pkg is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,6.75 GB,https://archive.org/download/ps4-fpkg-collection-english-d/DARK SOULS - [EU] [EN] [1.03].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DARK%20SOULS%20-.png
PS4-9A2D3B1A,DARK SOULS II - [EU] [EN] [1.02].pkg,Sony PlayStation 3 / PS4,General,DARK SOULS II - [EU] [EN] [1.02].pkg is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,10.61 GB,https://archive.org/download/ps4-fpkg-collection-english-d/DARK SOULS II - [EU] [EN] [1.02].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DARK%20SOULS%20II%20-.png
PS4-C20C2225,DARK SOULS III - [EU] [EN] [1.03].pkg,Sony PlayStation 3 / PS4,General,DARK SOULS III - [EU] [EN] [1.03].pkg is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,21.85 GB,https://archive.org/download/ps4-fpkg-collection-english-d/DARK SOULS III - [EU] [EN] [1.03].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DARK%20SOULS%20III%20-.png
PS4-04E07D4F,DAVE THE DIVER - [EU] [EN] [1.23].pkg,Sony PlayStation 3 / PS4,General,DAVE THE DIVER - [EU] [EN] [1.23].pkg is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,3.19 GB,https://archive.org/download/ps4-fpkg-collection-english-d/DAVE THE DIVER - [EU] [EN] [1.23].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DAVE%20THE%20DIVER%20-.png
PS4-31558995,DAYS GONE - [EU] [EN] [1.81].pkg,Sony PlayStation 3 / PS4,General,DAYS GONE - [EU] [EN] [1.81].pkg is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,32.18 GB,https://archive.org/download/ps4-fpkg-collection-english-d/DAYS GONE - [EU] [EN] [1.81].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DAYS%20GONE%20-.png
PS4-5724B767,DEAD RISING - [US] [EN] [1.00].pkg,Sony PlayStation 3 / PS4,General,DEAD RISING - [US] [EN] [1.00].pkg is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,7.50 GB,https://archive.org/download/ps4-fpkg-collection-english-d/DEAD RISING - [US] [EN] [1.00].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DEAD%20RISING%20-.png
PS4-2429D828,DEATH STRANDING - [EU] [EN] [1.12].pkg,Sony PlayStation 3 / PS4,General,DEATH STRANDING - [EU] [EN] [1.12].pkg is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,42.26 GB,https://archive.org/download/ps4-fpkg-collection-english-d/DEATH STRANDING - [EU] [EN] [1.12].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DEATH%20STRANDING%20-.png
PS4-17296992,DIRT 5 - [US] [EN] [6.02].pkg,Sony PlayStation 3 / PS4,General,DIRT 5 - [US] [EN] [6.02].pkg is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,34.15 GB,https://archive.org/download/ps4-fpkg-collection-english-d/DIRT 5 - [US] [EN] [6.02].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DIRT%205%20-.png
PS4-32DC2B7F,DOOM (1993) - [EU] [EN] [1.09].pkg,Sony PlayStation 3 / PS4,General,DOOM is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,368.00 MB,https://archive.org/download/ps4-fpkg-collection-english-d/DOOM (1993) - [EU] [EN] [1.09].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DOOM%20-.png
PS4-BEE55EE4,DOOM - [EU] [EN] [1.12].pkg,Sony PlayStation 3 / PS4,General,DOOM - [EU] [EN] [1.12].pkg is a classic title for the Sony PlayStation 3 / PS4. Experience the original gameplay and features that made this game a notable entry in its library.,For PS3: Use RPCS3. Requires a high-end CPU (8+ cores recommended) and a Vulkan-compatible GPU. For PS4: Currently requires a jailbroken console or experimental emulators like ShadPS4 for specific titles.,49.80 GB,https://archive.org/download/ps4-fpkg-collection-english-d/DOOM - [EU] [EN] [1.12].pkg,https://thumbnails.libretro.com/Sony%20-%20PlayStation%203/Named_Boxarts/DOOM%20-.png
